row_group,window_id,option_id,entity_id,search_id,rank,model_id,backtest_id,required_gate_status,signal_quality_gate_status,absolute_gate_status,relative_gate_status,counterfactual_status,counterfactual_reasons,strategy_compound_annualized_return,sharpe_ratio,calmar_ratio,max_drawdown,passed_benchmark_count,passed_benchmark_sec_codes,is_index_guard_check,index_name
current_baseline_performance_only,long_2021_2026,A_lower_absolute_calmar_0_50,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed;relative_gate_failed,0.15357789449949522,0.6685397877951121,0.41030930550903105,-0.3742978588042647,0,,False,
current_baseline_performance_only,long_2021_2026,B_absolute_excess_calmar_vs_000852,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,0.15357789449949522,0.6685397877951121,0.41030930550903105,-0.3742978588042647,0,,False,
current_baseline_performance_only,long_2021_2026,C_dual_track_remove_absolute_calmar,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,failed,failed,rejected,absolute_sharpe>=0.70_calmar_moved_to_relative_failed;relative_gate_failed,0.15357789449949522,0.6685397877951121,0.41030930550903105,-0.3742978588042647,0,,False,
current_baseline_performance_only,long_2021_2026,D_current_v3_no_change,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>1.0_failed;relative_gate_failed,0.15357789449949522,0.6685397877951121,0.41030930550903105,-0.3742978588042647,0,,False,
current_baseline_performance_only,replay_2024_2026,A_lower_absolute_calmar_0_50,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,passed,passed,accepted,,0.3827855901930728,1.4635833016704085,1.104120425866135,-0.34668826083241233,1,000852.SH,False,
current_baseline_performance_only,replay_2024_2026,B_absolute_excess_calmar_vs_000852,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,passed,passed,accepted,,0.3827855901930728,1.4635833016704085,1.104120425866135,-0.34668826083241233,1,000852.SH,False,
current_baseline_performance_only,replay_2024_2026,C_dual_track_remove_absolute_calmar,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,passed,passed,accepted,,0.3827855901930728,1.4635833016704085,1.104120425866135,-0.34668826083241233,1,000852.SH,False,
current_baseline_performance_only,replay_2024_2026,D_current_v3_no_change,current_true5y_ca_on_baseline,,,,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,not_applicable_current_baseline,not_applicable_current_baseline,passed,passed,accepted,,0.3827855901930728,1.4635833016704085,1.104120425866135,-0.34668826083241233,1,000852.SH,False,
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000001.SH,,,,full_hold_000001.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,passed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed,0.02628634139011199,0.16814140926682347,0.09639238931357073,-0.2727014194512889,3,"000016.SH,000300.SH,399001.SZ",True,上证指数
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000016.SH,,,,full_hold_000016.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed;relative_gate_failed,-0.04651104314640142,-0.26867022901533644,-0.10242941774507948,-0.45407895671295784,0,,True,上证50
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000300.SH,,,,full_hold_000300.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,passed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed,-0.017616226206400132,-0.09808737416946219,-0.03862985508090893,-0.4560262048486472,1,000016.SH,True,沪深300
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000688.SH,,,,full_hold_000688.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed;relative_gate_failed,0.03049947024107702,0.10130126589071096,0.05076584781567705,-0.6007871739247985,0,,True,科创50
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000852.SH,,,,full_hold_000852.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,passed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed,0.039483647353305784,0.16438183212368018,0.08453207952209567,-0.46708477511174007,1,399001.SZ,True,中证1000
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,000905.SH,,,,full_hold_000905.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,passed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed,0.04554817154167301,0.21571161698545327,0.1089460395790434,-0.4180801038538582,3,"000300.SH,000852.SH,399001.SZ",True,中证500
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,399001.SZ,,,,full_hold_399001.SZ,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed;relative_gate_failed,0.005644027220252701,0.02542001466930781,0.011264888667329508,-0.5010282291223649,0,,True,深证成指
full_index_guard_check,long_2021_2026,A_lower_absolute_calmar_0_50,399006.SZ,,,,full_hold_399006.SZ,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_calmar>0.5_failed;relative_gate_failed,0.04962870495998173,0.16941104480438818,0.08699772718484998,-0.5704597874670019,0,,True,创业板指
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000001.SH,,,,full_hold_000001.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,0.02628634139011199,0.16814140926682347,0.09639238931357073,-0.2727014194512889,0,,True,上证指数
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000016.SH,,,,full_hold_000016.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,-0.04651104314640142,-0.26867022901533644,-0.10242941774507948,-0.45407895671295784,0,,True,上证50
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000300.SH,,,,full_hold_000300.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,-0.017616226206400132,-0.09808737416946219,-0.03862985508090893,-0.4560262048486472,0,,True,沪深300
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000688.SH,,,,full_hold_000688.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,0.03049947024107702,0.10130126589071096,0.05076584781567705,-0.6007871739247985,0,,True,科创50
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000852.SH,,,,full_hold_000852.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,0.039483647353305784,0.16438183212368018,0.08453207952209567,-0.46708477511174007,0,,True,中证1000
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,000905.SH,,,,full_hold_000905.SH,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,passed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed,0.04554817154167301,0.21571161698545327,0.1089460395790434,-0.4180801038538582,1,000852.SH,True,中证500
full_index_guard_check,long_2021_2026,B_absolute_excess_calmar_vs_000852,399001.SZ,,,,full_hold_399001.SZ,assumed_pass_for_beta_guard,assumed_pass_for_beta_guard,failed,failed,rejected,absolute_sharpe>=0.70_and_000852_excess_branch_pass_failed;relative_gate_failed,0.005644027220252701,0.02542001466930781,0.011264888667329508,-0.5010282291223649,0,,True,深证成指
